"resource","url",
"transito promedio diario annual (tpda)","https://www.fonadin.gob.mx/fni2/autopistas-concesionadas/",
"ingresos tramos carreteros","https://www.fonadin.gob.mx/fni2/autopistas-concesionadas/",
"proyectos mexico","https://www.proyectosmexico.gob.mx/proyectos/","proyectos en operación"
"tarifas pase","https://www.pase.com.mx/presencia/carreteras-nacionales/",
"sct","http://app.sct.gob.mx/sibuac_internet/ServletManager","red fonadin"
"datos viales","https://www.sct.gob.mx/carreteras/direccion-general-de-servicios-tecnicos/datos-viales/",
"datos viales","https://micrs.sct.gob.mx/index.php/infraestructura/direccion-general-de-servicios-tecnicos/datos-viales/",
"tarifas viapass","https://www.viapass.com.mx/Portal_web/tarifas",
"capufe tarifas","https://pot.capufe.mx/gobmx/Transparencia/Tarifas.html",
"autopistas estatales edomex","https://saascaem.edomex.gob.mx/tarifas-red-estatal-autopistas",
"circuito exteriro mexiquense tarifas","https://www.circuitoexterior.mx/rutas-y-tarifas/",
"imt","http://rnc.imt.mx/#",
"imt","https://www.gob.mx/imt/acciones-y-programas/red-nacional-de-caminos",
"aforo puentes","https://datos.capufe.gob.mx:8080/Aforo/",
"conceciones","https://www.sct.gob.mx/carreteras/direccion-general-de-desarrollo-carretero/titulos-de-concesion/",
"securitization","https://www.probdes.iiec.unam.mx/index.php/pde/article/download/57217/62543?inline=1#footnote-8-back",
"oferta publica","https://www.cnbv.gob.mx/SECTORES-SUPERVISADOS/BURS%C3%81TIL/Paginas/Avisos-de-Oferta-p%C3%BAblica.aspx",
"proyectos mexico","https://www.proyectosmexico.gob.mx/como-invertir-en-infraestructura-en-mexico/ciclo-inversion/ciclos-carreteras/","nuevos proyectos"
